Date,Price
27.01.2021,32324.55565
28.01.2021,30534.99937
29.01.2021,33408.21834
30.01.2021,34842.55739
31.01.2021,34622.37323
1.02.2021,33087.36986
2.02.2021,33613.32076
3.02.2021,35632.90195
4.02.2021,37397.42636
5.02.2021,37256.25211
6.02.2021,37851.59659
7.02.2021,40302.79979
8.02.2021,38461.6814
9.02.2021,44716.68547
10.02.2021,46674.85169
11.02.2021,45237.47569
12.02.2021,47500.89752
13.02.2021,47884.18286
14.02.2021,47005.19065
15.02.2021,49151.16758
16.02.2021,48125.9922
17.02.2021,48840.41447
18.02.2021,52165.30256
19.02.2021,51728.5088
20.02.2021,55719.20436
21.02.2021,54801.64864
22.02.2021,57128.64261
23.02.2021,54181.91465
24.02.2021,48172.87748
25.02.2021,48745.43298
26.02.2021,48291.41208
27.02.2021,45752.11492
28.02.2021,46642.60608
1.03.2021,45092.80657
2.03.2021,49248.91401
3.03.2021,47900.77688
4.03.2021,50811.85517
5.03.2021,48259.48708
6.03.2021,49149.73083
7.03.2021,48879.1519
8.03.2021,50594.69857
9.03.2021,51503.25813
10.03.2021,54458.03781
11.03.2021,56915.17394
12.03.2021,57636.75796
13.03.2021,57306.16626
14.03.2021,60743.04182
15.03.2021,60197.90199
16.03.2021,56300.33411
